"","bams","plate","code","lane","batch"
"152","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.007.lane8/sol1c.007.lane8.sorted.unique.bam","plate2","sol1c.007.lane8","lane8","plate2.lane8"
"153","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.008.lane1/sol1c.008.lane1.sorted.unique.bam","plate2","sol1c.008.lane1","lane1","plate2.lane1"
"154","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.008.lane2/sol1c.008.lane2.sorted.unique.bam","plate2","sol1c.008.lane2","lane2","plate2.lane2"
"155","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.008.lane3/sol1c.008.lane3.sorted.unique.bam","plate2","sol1c.008.lane3","lane3","plate2.lane3"
"156","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.008.lane5/sol1c.008.lane5.sorted.unique.bam","plate2","sol1c.008.lane5","lane5","plate2.lane5"
"157","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.008.lane6/sol1c.008.lane6.sorted.unique.bam","plate2","sol1c.008.lane6","lane6","plate2.lane6"
"158","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.008.lane7/sol1c.008.lane7.sorted.unique.bam","plate2","sol1c.008.lane7","lane7","plate2.lane7"
"159","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.008.lane8/sol1c.008.lane8.sorted.unique.bam","plate2","sol1c.008.lane8","lane8","plate2.lane8"
"160","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.009.lane1/sol1c.009.lane1.sorted.unique.bam","plate2","sol1c.009.lane1","lane1","plate2.lane1"
"161","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.009.lane2/sol1c.009.lane2.sorted.unique.bam","plate2","sol1c.009.lane2","lane2","plate2.lane2"
"162","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.009.lane3/sol1c.009.lane3.sorted.unique.bam","plate2","sol1c.009.lane3","lane3","plate2.lane3"
"163","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.009.lane5/sol1c.009.lane5.sorted.unique.bam","plate2","sol1c.009.lane5","lane5","plate2.lane5"
"164","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.009.lane6/sol1c.009.lane6.sorted.unique.bam","plate2","sol1c.009.lane6","lane6","plate2.lane6"
"165","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.009.lane7/sol1c.009.lane7.sorted.unique.bam","plate2","sol1c.009.lane7","lane7","plate2.lane7"
"166","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.009.lane8/sol1c.009.lane8.sorted.unique.bam","plate2","sol1c.009.lane8","lane8","plate2.lane8"
"167","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.010.lane1/sol1c.010.lane1.sorted.unique.bam","plate2","sol1c.010.lane1","lane1","plate2.lane1"
"168","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.010.lane2/sol1c.010.lane2.sorted.unique.bam","plate2","sol1c.010.lane2","lane2","plate2.lane2"
"169","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.010.lane3/sol1c.010.lane3.sorted.unique.bam","plate2","sol1c.010.lane3","lane3","plate2.lane3"
"170","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.010.lane5/sol1c.010.lane5.sorted.unique.bam","plate2","sol1c.010.lane5","lane5","plate2.lane5"
"171","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.010.lane6/sol1c.010.lane6.sorted.unique.bam","plate2","sol1c.010.lane6","lane6","plate2.lane6"
"172","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.010.lane7/sol1c.010.lane7.sorted.unique.bam","plate2","sol1c.010.lane7","lane7","plate2.lane7"
"173","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.010.lane8/sol1c.010.lane8.sorted.unique.bam","plate2","sol1c.010.lane8","lane8","plate2.lane8"
"174","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.011.lane1/sol1c.011.lane1.sorted.unique.bam","plate2","sol1c.011.lane1","lane1","plate2.lane1"
"175","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.011.lane2/sol1c.011.lane2.sorted.unique.bam","plate2","sol1c.011.lane2","lane2","plate2.lane2"
"176","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.011.lane3/sol1c.011.lane3.sorted.unique.bam","plate2","sol1c.011.lane3","lane3","plate2.lane3"
"177","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.011.lane5/sol1c.011.lane5.sorted.unique.bam","plate2","sol1c.011.lane5","lane5","plate2.lane5"
"178","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.011.lane6/sol1c.011.lane6.sorted.unique.bam","plate2","sol1c.011.lane6","lane6","plate2.lane6"
"179","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.011.lane7/sol1c.011.lane7.sorted.unique.bam","plate2","sol1c.011.lane7","lane7","plate2.lane7"
"180","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.011.lane8/sol1c.011.lane8.sorted.unique.bam","plate2","sol1c.011.lane8","lane8","plate2.lane8"
"181","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.012.lane1/sol1c.012.lane1.sorted.unique.bam","plate2","sol1c.012.lane1","lane1","plate2.lane1"
"182","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.012.lane2/sol1c.012.lane2.sorted.unique.bam","plate2","sol1c.012.lane2","lane2","plate2.lane2"
"183","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.012.lane3/sol1c.012.lane3.sorted.unique.bam","plate2","sol1c.012.lane3","lane3","plate2.lane3"
"184","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.012.lane5/sol1c.012.lane5.sorted.unique.bam","plate2","sol1c.012.lane5","lane5","plate2.lane5"
"185","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.012.lane6/sol1c.012.lane6.sorted.unique.bam","plate2","sol1c.012.lane6","lane6","plate2.lane6"
"186","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.012.lane7/sol1c.012.lane7.sorted.unique.bam","plate2","sol1c.012.lane7","lane7","plate2.lane7"
"187","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.012.lane8/sol1c.012.lane8.sorted.unique.bam","plate2","sol1c.012.lane8","lane8","plate2.lane8"
"188","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.001.lane1/sol1c.001.lane1.sorted.unique.bam","plate3","sol1c.001.lane1","lane1","plate3.lane1"
"189","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.001.lane2/sol1c.001.lane2.sorted.unique.bam","plate3","sol1c.001.lane2","lane2","plate3.lane2"
"190","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.001.lane3/sol1c.001.lane3.sorted.unique.bam","plate3","sol1c.001.lane3","lane3","plate3.lane3"
"191","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.001.lane5/sol1c.001.lane5.sorted.unique.bam","plate3","sol1c.001.lane5","lane5","plate3.lane5"
"192","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.001.lane6/sol1c.001.lane6.sorted.unique.bam","plate3","sol1c.001.lane6","lane6","plate3.lane6"
"193","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.001.lane7/sol1c.001.lane7.sorted.unique.bam","plate3","sol1c.001.lane7","lane7","plate3.lane7"
"194","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.002.lane1/sol1c.002.lane1.sorted.unique.bam","plate3","sol1c.002.lane1","lane1","plate3.lane1"
"195","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.002.lane2/sol1c.002.lane2.sorted.unique.bam","plate3","sol1c.002.lane2","lane2","plate3.lane2"
"196","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.002.lane3/sol1c.002.lane3.sorted.unique.bam","plate3","sol1c.002.lane3","lane3","plate3.lane3"
"197","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.002.lane5/sol1c.002.lane5.sorted.unique.bam","plate3","sol1c.002.lane5","lane5","plate3.lane5"
"198","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.002.lane6/sol1c.002.lane6.sorted.unique.bam","plate3","sol1c.002.lane6","lane6","plate3.lane6"
"199","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.002.lane7/sol1c.002.lane7.sorted.unique.bam","plate3","sol1c.002.lane7","lane7","plate3.lane7"
"200","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.003.lane1/sol1c.003.lane1.sorted.unique.bam","plate3","sol1c.003.lane1","lane1","plate3.lane1"
"201","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.003.lane2/sol1c.003.lane2.sorted.unique.bam","plate3","sol1c.003.lane2","lane2","plate3.lane2"
"202","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.003.lane3/sol1c.003.lane3.sorted.unique.bam","plate3","sol1c.003.lane3","lane3","plate3.lane3"
"203","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.003.lane5/sol1c.003.lane5.sorted.unique.bam","plate3","sol1c.003.lane5","lane5","plate3.lane5"
"204","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.003.lane6/sol1c.003.lane6.sorted.unique.bam","plate3","sol1c.003.lane6","lane6","plate3.lane6"
"205","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.003.lane7/sol1c.003.lane7.sorted.unique.bam","plate3","sol1c.003.lane7","lane7","plate3.lane7"
"206","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.004.lane1/sol1c.004.lane1.sorted.unique.bam","plate3","sol1c.004.lane1","lane1","plate3.lane1"
"207","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.004.lane2/sol1c.004.lane2.sorted.unique.bam","plate3","sol1c.004.lane2","lane2","plate3.lane2"
"208","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.004.lane3/sol1c.004.lane3.sorted.unique.bam","plate3","sol1c.004.lane3","lane3","plate3.lane3"
"209","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.004.lane5/sol1c.004.lane5.sorted.unique.bam","plate3","sol1c.004.lane5","lane5","plate3.lane5"
"210","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.004.lane6/sol1c.004.lane6.sorted.unique.bam","plate3","sol1c.004.lane6","lane6","plate3.lane6"
"211","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.004.lane7/sol1c.004.lane7.sorted.unique.bam","plate3","sol1c.004.lane7","lane7","plate3.lane7"
"212","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.005.lane1/sol1c.005.lane1.sorted.unique.bam","plate3","sol1c.005.lane1","lane1","plate3.lane1"
"213","/ugi/data/vincent/sequence.data/HCM/aligned//plate3/sol1c.005.lane2/sol1c.005.lane2.sorted.unique.bam","plate3","sol1c.005.lane2","lane2","plate3.lane2"
